partido_id;fecha;equipo_a;equipo_b;p_1;p_X;p_2;btts_si;btts_no;goles_over_2_5;goles_under_2_5;corners_over_9_5;corners_under_9_5
MAR_BRA;2026-06-14;Morocco;Brazil;0,3015;0,2703;0,4282;0,5686;0,4314;0,5248;0,4752;0,3573;0,6427
MAR_SCO;2026-06-20;Morocco;Scotland;0,4634;0,2678;0,2687;0,5507;0,4493;0,5123;0,4877;0,3731;0,6269
MEX_CZE;2026-06-25;Mexico;Czechia;0,3826;0,2616;0,3558;0,6025;0,3975;0,5674;0,4326;0,5208;0,4792
MEX_KOR;2026-06-19;Mexico;South Korea;0,4171;0,2791;0,3038;0,5294;0,4706;0,4756;0,5244;0,5406;0,4594
MEX_RSA;2026-06-11;Mexico;South Africa;0,586;0,253;0,161;0,4806;0,5194;0,4858;0,5142;0,4584;0,5416
NED_SWE;2026-06-20;Netherlands;Sweden;0,5245;0,2437;0,2317;0,5812;0,4188;0,571;0,429;0,3605;0,6395
NZL_BEL;2026-06-27;New Zealand;Belgium;0,1495;0,2287;0,6218;0,515;0,485;0,5454;0,4546;0,7494;0,2506
NZL_EGY;2026-06-22;New Zealand;Egypt;0,2815;0,2721;0,4464;0,539;0,461;0,4959;0,5041;0,3271;0,6729
NZL_IRN;2026-06-16;New Zealand;Iran;0,2274;0,2688;0,5038;0,5319;0,4681;0,4996;0,5004;0,4308;0,5692
PAN_CRO;2026-06-24;Panama;Croatia;0,1941;0,2553;0,5506;0,4975;0,5025;0,4858;0,5142;0,3259;0,6741
PAN_ENG;2026-06-27;Panama;England;0,15;0,2341;0,6159;0,4819;0,5181;0,5083;0,4917;0,3051;0,6949
PAN_GHA;2026-06-18;Panama;Ghana;0,5775;0,2487;0,1739;0,4786;0,5214;0,4777;0,5223;0,2967;0,7033
PAR_AUS;2026-06-26;Paraguay;Australia;0,305;0,2984;0,3966;0,5014;0,4986;0,4337;0,5663;0,1489;0,8511
PAR_TUR;2026-06-20;Paraguay;Türkiye;0,2838;0,2862;0,4299;0,5138;0,4862;0,4543;0,5457;0,2496;0,7504
PAR_USA;2026-06-13;Paraguay;USA;0,2567;0,272;0,4713;0,543;0,457;0,501;0,499;0,4886;0,5114
QAT_BIH;2026-06-24;Qatar;Bosnia & Herzegovina;0,2464;0,2714;0,4822;0,5278;0,4722;0,4923;0,5077;0,3368;0,6632
QAT_CAN;2026-06-19;Qatar;Canada;0,1295;0,2251;0,6454;0,4691;0,5309;0,5167;0,4833;0,7656;0,2344
QAT_SUI;2026-06-13;Qatar;Switzerland;0,1231;0,2122;0,6646;0,4623;0,5376;0,5175;0,4825;0,5422;0,4578
RSA_CZE;2026-06-18;South Africa;Czechia;0,1812;0,2243;0,5945;0,5695;0,4305;0,5911;0,4089;0,5314;0,4686
RSA_KOR;2026-06-25;South Africa;South Korea;0,1769;0,2515;0,5716;0,5139;0,4861;0,5127;0,4873;0,4547;0,5453
SEN_FRA;2026-06-16;Senegal;France;0,2741;0,2482;0,4778;0,626;0,374;0,6079;0,3921;0,49;0,51
SEN_NOR;2026-06-23;Senegal;Norway;0,3317;0,2742;0,3941;0,5667;0,4333;0,5184;0,4816;0,373;0,627
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;0,5472;0,2445;0,2083;0,5433;0,4567;0,5447;0,4553;0,5666;0,4334
TUN_NED;2026-06-26;Tunisia;Netherlands;0,1316;0,2298;0,6387;0,4826;0,5174;0,5225;0,4775;0,3352;0,6648
TUN_SWE;2026-06-15;Tunisia;Sweden;0,2568;0,2731;0,4702;0,5326;0,4674;0,4929;0,5071;0,4765;0,5235
URU_ESP;2026-06-27;Uruguay;Spain;0,1575;0,2258;0,6167;0,5241;0,4759;0,553;0,447;0,2325;0,7675
USA_TUR;2026-06-26;USA;Türkiye;0,3128;0,2786;0,4087;0,5538;0,4462;0,506;0,494;0,5192;0,4808
UZB_POR;2026-06-23;Uzbekistan;Portugal;0,2404;0,2598;0,4999;0,5558;0,4442;0,5297;0,4703;0,5393;0,4607
