equipo;rank;vecino;distancia;peso
Paraguay;3;Venezuela;1,5459;0,1391
Paraguay;4;Costa Rica;1,744;0,1141
Paraguay;5;Jordan;1,7917;0,1088
Paraguay;6;Montenegro;1,8284;0,1049
Paraguay;7;Belarus;1,8345;0,1042
Paraguay;8;China;1,8692;0,1007
Brazil;1;Switzerland;1,5002;0,1746
Brazil;2;Ecuador;1,7476;0,1363
Brazil;3;Mexico;1,8319;0,1253
Brazil;4;France;1,8422;0,124
Brazil;5;Greece;1,8694;0,1207
Brazil;6;Israel;1,9451;0,1119
Brazil;7;Germany;2,0015;0,1058
Brazil;8;Croatia;2,0448;0,1013
Mexico;1;Poland;0,9925;0,1766
Mexico;2;Panama;1,1141;0,1563
Mexico;3;Uruguay;1,3766;0,1202
Mexico;4;Chile;1,4228;0,1148
Mexico;5;Ecuador;1,4371;0,1132
Mexico;6;Colombia;1,4544;0,1112
Mexico;7;Egypt;1,4792;0,1085
Mexico;8;Austria;1,5702;0,0991
Germany;1;Spain;0,802;0,2754
Germany;2;France;1,5054;0,1363
Germany;3;Croatia;1,6743;0,1151
Germany;4;Netherlands;1,7791;0,1037
Germany;5;Argentina;1,7921;0,1023
Germany;6;Belgium;1,9207;0,09
Germany;7;USA;1,922;0,0899
Germany;8;Portugal;1,952;0,0872
Australia;1;Scotland;1,4073;0,1839
Australia;2;Iceland;1,4302;0,1798
Australia;3;United Arab Emirates;1,9312;0,1089
Australia;4;Senegal;1,9421;0,1078
Australia;5;Russia;1,9504;0,1069
Australia;6;Iran;1,9619;0,1056
Australia;7;USA;1,9772;0,104
Australia;8;Uzbekistan;1,9869;0,103
South Africa;1;Greece;1,2388;0,1881
South Africa;2;Switzerland;1,3975;0,1605
South Africa;3;USA;1,4949;0,1456
South Africa;4;Russia;1,7734;0,1102
South Africa;5;Ukraine;1,8603;0,101
South Africa;6;Croatia;1,8845;0,0986
South Africa;7;Egypt;1,8887;0,0982
South Africa;8;Chile;1,8922;0,0979
DR Congo;1;Cameroon;1,618;0,2047
DR Congo;2;Angola;2,0195;0,137
DR Congo;3;Jordan;2,0665;0,1307
DR Congo;4;Costa Rica;2,1084;0,1253
DR Congo;5;Tanzania;2,1613;0,1189
DR Congo;6;Congo Republic;2,3281;0,1006
DR Congo;7;Peru;2,405;0,0932
DR Congo;8;Sudan;2,4428;0,0897
South Korea;1;Belgium;1,6874;0,158
South Korea;2;Denmark;1,7271;0,1519
South Korea;3;USA;1,8618;0,1327
South Korea;4;Croatia;1,9336;0,1235
South Korea;5;Qatar;2,0477;0,1102
South Korea;6;Netherlands;2,0564;0,1093
South Korea;7;Wales;2,065;0,1083
South Korea;8;South Africa;2,0868;0,106
Ghana;1;Mozambique;2,4596;0,1501
Ghana;2;Albania;2,4872;0,146
Ghana;3;Georgia;2,5007;0,1441
Ghana;4;Bolivia;2,5887;0,1319
Ghana;5;Mali;2,6171;0,1282
Ghana;6;Uganda;2,7782;0,1092
Ghana;7;Greece;2,9137;0,0953
Ghana;8;Indonesia;2,9158;0,0951
Cabo Verde;1;Uruguay;1,9942;0,1715
Cabo Verde;2;Angola;2,0589;0,1607
Cabo Verde;3;Cameroon;2,2108;0,1381
Cabo Verde;4;Burkina Faso;2,2894;0,1276
Cabo Verde;5;Ecuador;2,4912;0,1043
Cabo Verde;6;Côte d'Ivoire;2,4988;0,1035
Cabo Verde;7;Bolivia;2,5397;0,0994
Cabo Verde;8;Zambia;2,587;0,0948
