"partido_id";"partido_completo";"equipo_nombre";"tipo_equipo";"ball_possession";"expected_goals";"big_chances";"total_shots";"goalkeeper_saves";"corner_kicks";"fouls";"passes";"tackles";"free_kicks";"yellow_cards";"shots_on_target";"hit_woodwork";"shots_off_target";"blocked_shots";"shots_inside_box";"shots_outside_box";"big_chances_scored";"big_chances_missed";"through_balls";"touches_in_penalty_area";"fouled_in_final_third";"offsides";"accurate_passes";"throw-ins";"final_third_entries";"final_third_phase";"long_balls";"crosses";"duels";"dispossessed";"ground_duels";"aerial_duels";"dribbles";"tackles_won";"total_tackles";"interceptions";"recoveries";"clearances";"errors_lead_to_a_goal";"total_saves";"big_saves";"high_claims";"punches";"goal_kicks";"red_cards";"errors_lead_to_a_shot";"penalty_saves";"goals_prevented";"goles"
12475928;"Japan vs Indonesia";"Japan";"home";71;NA;10;22;0;8;6;645;17;6;NA;10;1;9;3;20;2;5;5;1;55;2;0;583;21;74;136;14;8;63;9;34;18;11;88;17;3;47;9;NA;0;0;NA;NA;0;NA;NA;NA;NA;6
12475928;"Japan vs Indonesia";"Indonesia";"away";29;NA;0;0;4;0;6;267;17;6;NA;0;0;0;0;0;0;0;0;0;0;0;3;202;19;31;18;7;0;37;8;25;5;2;59;17;7;31;38;NA;4;1;NA;NA;10;NA;NA;NA;NA;0
13938606;"Japan vs Hong Kong";"Japan";"home";66;2,82;NA;20;1;8;19;510;3;2;1;10;0;4;6;10;10;NA;NA;1;NA;NA;0;431;13;NA;NA;18;13;41;2;30;23;24;NA;3;10;NA;9;NA;1;NA;NA;NA;6;0;NA;NA;NA;6
13938606;"Japan vs Hong Kong";"Hong Kong";"away";34;0,81;NA;7;4;3;3;208;1;5;1;2;1;4;0;4;3;NA;NA;1;NA;NA;1;152;18;NA;NA;19;2;36;2;31;14;4;NA;1;21;NA;15;NA;4;NA;NA;NA;12;0;NA;NA;NA;1
13938610;"South Korea vs Japan";"South Korea";"home";59;0,97;NA;9;0;11;12;487;2;7;2;1;1;3;4;6;3;NA;NA;1;NA;NA;2;418;34;NA;NA;51;8;32;6;31;23;14;NA;2;8;NA;9;NA;0;NA;NA;NA;4;0;NA;NA;NA;0
13938610;"South Korea vs Japan";"Japan";"away";41;0,55;NA;4;2;2;14;329;2;1;2;1;0;2;1;3;1;NA;NA;0;NA;NA;1;270;20;NA;NA;25;3;37;5;22;41;10;NA;2;15;NA;33;NA;2;NA;NA;NA;10;0;NA;NA;NA;1
14994221;"Japan vs Ghana";"Japan";"home";51;1,24;1;14;2;4;NA;516;22;13;NA;5;0;8;1;9;5;1;NA;NA;20;3;1;447;15;59;93;9;3;59;9;38;13;4;55;22;14;54;10;NA;2;NA;0;NA;3;NA;NA;NA;NA;2
14994221;"Japan vs Ghana";"Ghana";"away";49;1,22;0;7;3;1;NA;492;16;14;NA;2;0;2;3;3;4;0;NA;NA;5;1;1;412;20;36;35;25;2;41;14;31;5;2;56;16;20;49;8;NA;3;NA;1;NA;8;NA;NA;NA;NA;0
15396516;"Scotland vs Japan";"Scotland";"home";45;1,34;1;8;6;3;7;495;9;16;0;3;1;4;1;6;2;0;1;0;10;4;0;410;13;27;33;19;4;46;10;26;11;3;78;9;8;50;30;NA;6;0;1;0;9;NA;2;NA;NA;0
15396516;"Scotland vs Japan";"Japan";"away";55;2,25;3;18;3;8;16;608;14;7;2;7;1;8;3;15;3;1;2;2;32;1;1;535;14;67;100;15;6;54;6;29;14;8;71;14;12;51;16;NA;3;1;0;2;7;NA;0;NA;NA;1
11275787;"Iran vs Palestine";"Iran";"home";62;1,66;2;12;2;3;11;574;16;21;1;5;0;5;2;8;4;2;NA;NA;33;4;0;490;24;49;64;38;4;58;7;47;16;10;50;16;12;49;12;NA;2;2;NA;1;3;NA;NA;NA;NA;4
11275787;"Iran vs Palestine";"Palestine";"away";38;0,35;1;4;1;2;21;349;17;8;6;3;0;1;0;2;2;1;NA;NA;5;0;3;262;23;27;37;18;0;42;9;31;14;6;53;17;9;51;17;NA;1;1;NA;0;6;NA;NA;NA;NA;1
11275800;"Hong Kong vs Iran";"Hong Kong";"home";30;0,84;0;9;3;2;12;209;14;11;2;2;0;4;3;2;7;NA;0;NA;14;1;1;93;30;78;26;22;2;47;7;29;31;4;57;14;5;48;19;NA;3;1;1;0;13;NA;0;NA;NA;0
11275800;"Hong Kong vs Iran";"Iran";"away";70;1,14;2;14;3;5;12;510;12;12;0;4;1;7;3;10;4;NA;2;NA;23;2;2;402;32;57;79;37;6;53;9;28;41;5;33;12;9;44;30;NA;3;0;0;2;8;NA;1;NA;NA;1
11275807;"Iran vs United Arab Emirates";"Iran";"home";60;1,2;4;15;4;7;14;563;13;13;2;2;0;8;5;8;7;1;3;2;18;4;6;487;13;41;61;17;4;51;7;32;13;6;54;13;3;55;11;0;4;NA;NA;NA;4;NA;NA;1;NA;2
11275807;"Iran vs United Arab Emirates";"United Arab Emirates";"away";40;1,5;1;11;0;0;13;377;11;13;2;5;0;2;4;8;3;0;1;0;14;1;1;301;23;43;34;24;3;49;6;28;15;4;64;11;5;42;22;1;0;NA;NA;NA;15;NA;NA;0;NA;1
11275819;"Iran vs Syria";"Iran";"home";57;2,9;5;20;3;7;11;724;16;6;6;12;0;5;3;8;12;1;4;2;31;2;2;594;29;66;126;45;4;52;4;28;27;7;81;16;7;77;17;NA;3;0;1;0;10;1;1;NA;NA;6
