mercado;etiqueta;fuente;n;brier;acierto;ece;cob80;bins_json
shots_inside_box;shots_inside_box;backtest;1716;0.2528;0.5659;0.0476;0.6713;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11689130434782606, ""real"": 0.782608695652174, ""n"": 23}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3493503717472119, ""real"": 0.379182156133829, ""n"": 269}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4967581096196868, ""real"": 0.49776286353467564, ""n"": 894}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6735089662447257, ""real"": 0.5759493670886076, ""n"": 474}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8975133928571429, ""real"": 0.6964285714285714, ""n"": 56}]"
shots_outside_box;shots_outside_box;backtest;1716;0.2449;0.5915;0.0716;0.6527;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.09707575757575758, ""real"": 0.42424242424242425, ""n"": 33}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.33078621169916433, ""real"": 0.3398328690807799, ""n"": 359}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49766946564885495, ""real"": 0.45648854961832064, ""n"": 655}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.682011009174312, ""real"": 0.5669724770642202, ""n"": 545}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8960141129032259, ""real"": 0.7419354838709677, ""n"": 124}]"
blocked_shots;blocked_shots;backtest;1712;0.2376;0.6256;0.0711;0.676;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.09515573770491803, ""real"": 0.3442622950819672, ""n"": 61}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.32387470862470863, ""real"": 0.36363636363636365, ""n"": 429}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4961078528827038, ""real"": 0.44731610337972166, ""n"": 503}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6942332995951417, ""real"": 0.6255060728744939, ""n"": 494}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8885566666666667, ""real"": 0.7511111111111111, ""n"": 225}]"
offsides;Fueras de juego O/U;backtest;1704;0.2044;0.6984;0.0548;0.7925;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.13582568807339448, ""real"": 0.28440366972477066, ""n"": 109}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.30099880668257756, ""real"": 0.27923627684964203, ""n"": 419}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4982894088669951, ""real"": 0.458128078817734, ""n"": 406}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.7071202898550725, ""real"": 0.6579710144927536, ""n"": 345}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9146888235294117, ""real"": 0.8329411764705882, ""n"": 425}]"
tackles;Entradas O/U;backtest;1716;0.2613;0.5052;0.0907;0.6853;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.0825892857142857, ""real"": 0.5, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3548842592592592, ""real"": 0.5185185185185185, ""n"": 162}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5023757523645744, ""real"": 0.43680137575236455, ""n"": 1163}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6561556338028169, ""real"": 0.5464788732394367, ""n"": 355}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9165681818181818, ""real"": 0.5454545454545454, ""n"": 22}]"
goalkeeper_saves;Paradas O/U;backtest;1709;0.2326;0.622;0.0529;0.7576;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11409154929577466, ""real"": 0.28169014084507044, ""n"": 71}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3125805837563452, ""real"": 0.31725888324873097, ""n"": 394}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4967088815789473, ""real"": 0.5021929824561403, ""n"": 456}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.7020774378585085, ""real"": 0.6290630975143403, ""n"": 523}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8906575471698113, ""real"": 0.7547169811320755, ""n"": 265}]"
free_kicks;free_kicks;backtest;1716;0.2542;0.5355;0.0635;0.6713;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.06683333333333334, ""real"": 0.6666666666666666, ""n"": 9}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.35209490740740745, ""real"": 0.4675925925925926, ""n"": 216}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5043821138211382, ""real"": 0.4817073170731707, ""n"": 984}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6609618644067797, ""real"": 0.5466101694915254, ""n"": 472}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8934857142857142, ""real"": 0.8285714285714286, ""n"": 35}]"
throw-ins;throw-ins;backtest;1716;0.252;0.5437;0.0598;0.6993;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1012857142857143, ""real"": 0.42857142857142855, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.35335778443113774, ""real"": 0.46706586826347307, ""n"": 167}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.5007739448051949, ""real"": 0.45454545454545453, ""n"": 1232}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6500194346289753, ""real"": 0.5971731448763251, ""n"": 283}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.9066375000000001, ""real"": 0.55, ""n"": 20}]"
goal_kicks;goal_kicks;backtest;1716;0.2529;0.553;0.0838;0.8089;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.10865625, ""real"": 0.625, ""n"": 16}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.342369391025641, ""real"": 0.391025641025641, ""n"": 312}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.499516876430206, ""real"": 0.4244851258581236, ""n"": 874}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6706481481481481, ""real"": 0.5773420479302832, ""n"": 459}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8892772727272726, ""real"": 0.6727272727272727, ""n"": 55}]"
passes;passes;backtest;1716;0.2678;0.4528;0.0766;0.7366;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.15464285714285714, ""real"": 1.0, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3400833333333334, ""real"": 0.6574074074074074, ""n"": 108}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49334368457780886, ""real"": 0.45708304256803906, ""n"": 1433}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6559685534591195, ""real"": 0.44654088050314467, ""n"": 159}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.995, ""real"": 1.0, ""n"": 2}]"
accurate_passes;accurate_passes;backtest;1716;0.2688;0.4312;0.0618;0.7762;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.1511607142857143, ""real"": 1.0, ""n"": 14}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3380133928571429, ""real"": 0.6696428571428571, ""n"": 112}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49294146341463413, ""real"": 0.4752613240418119, ""n"": 1435}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6514183006535947, ""real"": 0.4444444444444444, ""n"": 153}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.995, ""real"": 1.0, ""n"": 2}]"
