partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento_o_jugador;linea_o_target;probabilidad;periodo
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;3.5;0,4245;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;3.5;0,5755;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;4.5;0,2649;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;4.5;0,7351;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;5.5;0,1524;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;5.5;0,8476;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;6.5;0,0817;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;6.5;0,9183;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;over;7.5;0,0412;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;B;under;7.5;0,9588;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;3.5;0,9687;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;3.5;0,0313;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;4.5;0,9232;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;4.5;0,0768;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;5.5;0,8463;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;5.5;0,1537;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;6.5;0,738;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;6.5;0,262;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;7.5;0,6074;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;7.5;0,3926;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;8.5;0,4694;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;8.5;0,5306;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;9.5;0,34;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;9.5;0,66;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;10.5;0,2307;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;10.5;0,7693;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;11.5;0,1468;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;11.5;0,8532;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;12.5;0,0877;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;12.5;0,9123;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;over;13.5;0,0493;FT
ARG_ALG;2026-06-17;Argentina;Algeria;corner_kicks;TOTAL;under;13.5;0,9507;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;over;0.5;0,7742;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;under;0.5;0,2258;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;over;1.5;0,4382;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;under;1.5;0,5618;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;over;2.5;0,1882;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;under;2.5;0,8118;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;over;3.5;0,0642;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;A;under;3.5;0,9358;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;over;0.5;0,5094;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;under;0.5;0,4906;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;over;1.5;0,2834;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;under;1.5;0,7166;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;over;2.5;0,1622;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;under;2.5;0,8378;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;over;3.5;0,0943;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;under;3.5;0,9057;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;over;4.5;0,0553;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;under;4.5;0,9447;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;over;5.5;0,0326;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;B;under;5.5;0,9674;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;over;0.5;0,8784;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;under;0.5;0,1216;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;over;1.5;0,6729;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;under;1.5;0,3271;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;over;2.5;0,4615;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;under;2.5;0,5385;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;over;3.5;0,2905;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;under;3.5;0,7095;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;over;4.5;0,1711;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;under;4.5;0,8289;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;over;5.5;0,0956;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;under;5.5;0,9044;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;over;6.5;0,0512;FT
ARG_ALG;2026-06-17;Argentina;Algeria;yellow_cards;TOTAL;under;6.5;0,9488;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;4.5;0,9643;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;4.5;0,0357;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;5.5;0,9208;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;5.5;0,0792;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;6.5;0,8508;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;6.5;0,1492;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;7.5;0,7543;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;7.5;0,2457;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;8.5;0,6374;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;8.5;0,3626;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;9.5;0,5111;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;9.5;0,4889;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;10.5;0,388;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;10.5;0,612;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;11.5;0,2787;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;11.5;0,7213;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;12.5;0,1894;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;12.5;0,8106;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;13.5;0,122;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;13.5;0,878;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;14.5;0,0745;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;14.5;0,9255;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;over;15.5;0,0432;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;A;under;15.5;0,9568;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;4.5;0,9507;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;4.5;0,0493;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;5.5;0,9036;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;5.5;0,0964;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;6.5;0,8355;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;6.5;0,1645;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;7.5;0,7485;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;7.5;0,2515;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;8.5;0,6479;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;8.5;0,3521;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;9.5;0,5412;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;9.5;0,4588;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;10.5;0,4362;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;10.5;0,5638;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;11.5;0,3394;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;11.5;0,6606;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;12.5;0,2553;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;12.5;0,7447;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;13.5;0,1858;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;13.5;0,8142;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;14.5;0,1311;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;14.5;0,8689;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;15.5;0,0898;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;under;15.5;0,9102;FT
ARG_ALG;2026-06-17;Argentina;Algeria;fouls;B;over;16.5;0,0598;FT
