partido_id;fecha;timestamp;torneo;categoria
10339208;2023-09-08;1694199600;Africa Cup of Nations, Qualification, Group B;Africa
10752420;2023-10-14;1697299200;Euro, Qualification Group H;Europe
10752444;2026-09-26;1790438400;UEFA Nations League, League C, Gr. 1;Europe
10752461;2023-10-17;1697558400;Euro, Qualification Group H;Europe
10752487;2023-09-10;1694361600;Euro, Qualification Group H;Europe
10752493;2023-11-21;1700595900;Euro, Qualification Group D;Europe
10752510;2023-10-12;1697136300;Euro, Qualification Group D;Europe
10752518;2023-10-13;1697222700;Euro, Qualification Group F;Europe
10752526;2023-10-14;1697299200;Euro, Qualification Group H;Europe
10752529;2023-10-14;1697309100;Euro, Qualification Group H;Europe
10752534;2023-10-15;1697395500;Euro, Qualification Group D;Europe
10752535;2023-10-15;1697395500;Euro, Qualification Group D;Europe
10752539;2023-10-16;1697472000;Euro, Qualification Group F;Europe
10752552;2023-10-17;1697558400;Euro, Qualification Group H;Europe
10752553;2023-10-17;1697568300;Euro, Qualification Group H;Europe
10752556;2023-11-16;1700154000;Euro, Qualification Group F;Europe
10752562;2023-11-16;1700163900;Euro, Qualification Group J;Europe
10752564;2023-11-17;1700240400;Euro, Qualification Group H;Europe
10752569;2024-06-16;1718553600;Euro, Group C;Europe
10752571;2023-11-18;1700326800;Euro, Qualification Group D;Europe
10752573;2023-11-18;1700336700;Euro, Qualification Group B;Europe
10752574;2023-11-18;1700336700;Euro, Qualification Group B;Europe
10752575;2025-11-18;1763495100;World Cup Qual. UEFA B;Europe
10752583;2023-11-19;1700423100;Euro, Qualification Group J;Europe
10752590;2025-06-07;1749315600;Int. Friendly Games;World
10752592;2026-09-26;1790438400;UEFA Nations League, League C, Gr. 1;Europe
10752593;2023-11-21;1700595900;Euro, Qualification Group B;Europe
10752594;2023-11-21;1700595900;Euro, Qualification Group B;Europe
10752595;2023-11-21;1700595900;Euro, Qualification Group D;Europe
10752596;2024-11-16;1731776400;UEFA Nations League, League B, Gr. 4;Europe
10752597;2023-11-21;1700595900;Euro, Qualification Group I;Europe
11111104;2023-06-16;1686934800;Int. Friendly Games;World
11275780;2024-01-13;1705156200;AFC Asian Cup, Group A;Asia
11275784;2025-08-24;1756049400;Int. Friendly Games;World
11275785;2024-01-14;1705231800;AFC Asian Cup, Group D;Asia
11275787;2024-01-14;1705253400;AFC Asian Cup, Group C;Asia
11275793;2024-01-17;1705491000;AFC Asian Cup, Group A;Asia
11275798;2024-01-19;1705663800;AFC Asian Cup, Group D;Asia
11275800;2024-06-06;1717675200;World Cup Qualification, AFC, Round 2, Group E;Asia
11275805;2024-01-22;1705935600;AFC Asian Cup, Group A;Asia
11275806;2024-09-04;1725438600;Int. Friendly Games;World
11275807;2025-03-20;1742486400;World Cup Qualification, AFC, Round 3, Group A;Asia
11275809;2027-01-11;1799661600;AFC Asian Cup, Group F;Asia
11275818;2025-03-20;1742466900;World Cup Qualification, AFC, Round 3, Gr. C;Asia
11275819;2027-01-18;1800266400;AFC Asian Cup, Group C;Asia
11275822;2024-02-03;1706959800;AFC Asian Cup, Knockout stage;Asia
11275825;2025-06-05;1749147300;World Cup Qualification, AFC, Round 3, Group A;Asia
11348589;2023-06-19;1687190400;Int. Friendly Games;World
11518405;2025-09-09;1757460600;World Cup Qualification, CONMEBOL;South America
11518406;2024-10-15;1729024200;World Cup Qualification, CONMEBOL;South America
11518413;2024-10-15;1729033200;World Cup Qualification, CONMEBOL;South America
11620297;2024-11-20;1732060800;World Cup Qualification, CONMEBOL;South America
11620304;2024-11-14;1731618000;World Cup Qualification, CONMEBOL;South America
11620316;2025-11-18;1763485200;Int. Friendly Games;World
11635606;2023-10-18;1697587200;Int. Friendly Games;World
11635611;2023-11-21;1700595900;Int. Friendly Games;World
11635628;2023-11-21;1700595900;Int. Friendly Games;World
11703157;2025-09-09;1757401200;Int. Friendly Games;World
11730028;2024-07-02;1719925200;COSAFA Cup, Group A;Africa
11733075;2023-10-13;1697212800;Int. Friendly Games;World
11733451;2023-11-15;1700077500;Euro, Qualification Group I;Europe
11740226;2024-03-26;1711440000;World Cup Qualification, AFC, Round 2, Group B;Asia
11740232;2024-03-26;1711442700;World Cup Qualification, AFC, Round 2, Group I;Asia
11740240;2024-03-26;1711442700;World Cup Qualification, AFC, Round 2, Group I;Asia
11740244;2026-06-09;1781004900;Int. Friendly Games;World
11740250;2024-06-11;1718100840;World Cup Qualification, AFC, Round 2, Group B;Asia
11740251;2025-07-07;1751886000;EAFF E-1 Football Championship;Asia
11761478;2024-06-06;1717675800;World Cup Qualification, AFC, Round 2, Group B;Asia
11761874;2024-01-14;1705262400;Africa Cup of Nations, Group B;Africa
11761888;2024-01-19;1705672800;Africa Cup of Nations, Group B;Africa
11761898;2025-11-17;1763395200;Int. Friendly Games;World
11763657;2026-06-05;1780659000;Int. Friendly Games;World
11763659;2026-06-05;1780659000;Int. Friendly Games;World
11774450;2025-03-21;1742599800;World Cup Qualification, CONMEBOL;South America
11774455;2025-03-21;1742590800;World Cup Qualification, CONMEBOL;South America
11774463;2025-03-20;1742511600;World Cup Qualification, CONMEBOL;South America
11774476;2025-03-26;1742947200;World Cup Qualification, CONMEBOL;South America
11774477;2025-03-25;1742932800;World Cup Qualification, CONMEBOL;South America
11774479;2025-03-26;1742947200;World Cup Qualification, CONMEBOL;South America
11774480;2025-03-26;1742947200;World Cup Qualification, CONMEBOL;South America
11797964;2025-10-13;1760371200;FIFA World Cup, Qualification CAF, Group D;Africa
11797974;2025-09-08;1757358000;FIFA World Cup, Qualification CAF, Group D;Africa
11800822;2023-11-18;1700336700;Int. Friendly Games;World
11855035;2024-03-21;1711050300;Euro, Qualification Playoff;Europe
11873896;2024-06-24;1719255600;Euro, Group B;Europe
11873897;2024-06-15;1718456400;Euro, Group A;Europe
