partido_id;fecha;equipo_a;equipo_b;p_1;p_X;p_2;btts_si;btts_no;goles_over_2_5;goles_under_2_5;corners_over_9_5;corners_under_9_5
MAR_BRA;2026-06-14;Morocco;Brazil;0,2975;0,2633;0,4391;0,5747;0,4253;0,5406;0,4594;0,3662;0,6338
MAR_SCO;2026-06-20;Morocco;Scotland;0,4621;0,2595;0,2785;0,5763;0,4237;0,5471;0,4529;0,3968;0,6032
MEX_CZE;2026-06-25;Mexico;Czechia;0,2636;0,2339;0,5024;0,6561;0,3439;0,6552;0,3448;0,5386;0,4614
MEX_KOR;2026-06-19;Mexico;South Korea;0,4241;0,2788;0,297;0,528;0,472;0,4765;0,5235;0,5322;0,4678
MEX_RSA;2026-06-11;Mexico;South Africa;0,6038;0,245;0,1512;0,4743;0,5256;0,4879;0,5121;0,479;0,521
NED_SWE;2026-06-20;Netherlands;Sweden;0,5444;0,2354;0,2203;0,6001;0,3999;0,6012;0,3988;0,4223;0,5777
NZL_BEL;2026-06-27;New Zealand;Belgium;0,1366;0,217;0,6463;0,4845;0,5155;0,5388;0,4612;0,7659;0,2341
NZL_EGY;2026-06-22;New Zealand;Egypt;0,2703;0,2674;0,4623;0,5591;0,4409;0,5207;0,4793;0,3289;0,6711
NZL_IRN;2026-06-16;New Zealand;Iran;0,2132;0,2581;0,5286;0,5031;0,4969;0,4813;0,5187;0,4215;0,5785
PAN_CRO;2026-06-24;Panama;Croatia;0,187;0,257;0,5561;0,5023;0,4977;0,4914;0,5087;0,3124;0,6876
PAN_ENG;2026-06-27;Panama;England;0,1416;0,2239;0,6345;0,4818;0,5182;0,5186;0,4814;0,3039;0,6961
PAN_GHA;2026-06-18;Panama;Ghana;0,6056;0,2422;0,1522;0,4734;0,5266;0,4934;0,5067;0,304;0,696
PAR_AUS;2026-06-26;Paraguay;Australia;0,3826;0,2987;0,3187;0,4966;0,5033;0,4311;0,5689;0,1486;0,8514
PAR_TUR;2026-06-20;Paraguay;Türkiye;0,2877;0,2882;0,4241;0,5265;0,4735;0,4671;0,533;0,2421;0,7579
PAR_USA;2026-06-13;Paraguay;USA;0,3384;0,2816;0,38;0,5458;0,4542;0,4874;0,5127;0,4878;0,5122
QAT_BIH;2026-06-24;Qatar;Bosnia & Herzegovina;0,2567;0,2619;0,4814;0,5574;0,4426;0,5311;0,4689;0,3441;0,6559
QAT_CAN;2026-06-19;Qatar;Canada;0,1082;0,1978;0,694;0,445;0,5551;0,5313;0,4687;0,8118;0,1882
QAT_SUI;2026-06-13;Qatar;Switzerland;0,0922;0,1852;0,7226;0,4629;0,5371;0,572;0,428;0,5376;0,4624
RSA_CZE;2026-06-18;South Africa;Czechia;0,1192;0,182;0,6987;0,5577;0,4423;0,6567;0,3433;0,5196;0,4804
RSA_KOR;2026-06-25;South Africa;South Korea;0,1789;0,2401;0,581;0,5218;0,4782;0,5301;0,4699;0,3967;0,6033
SEN_FRA;2026-06-16;Senegal;France;0,3665;0,2342;0,3992;0,6952;0,3048;0,6839;0,3161;0,481;0,519
SEN_NOR;2026-06-23;Senegal;Norway;0,3634;0,2692;0,3674;0,5987;0,4013;0,5568;0,4432;0,3862;0,6138
SUI_BIH;2026-06-18;Switzerland;Bosnia & Herzegovina;0,5982;0,2291;0,1726;0,5434;0,4566;0,5627;0,4373;0,5331;0,4669
TUN_NED;2026-06-26;Tunisia;Netherlands;0,1773;0,2364;0,5863;0,5413;0,4587;0,5497;0,4503;0,3039;0,6961
TUN_SWE;2026-06-15;Tunisia;Sweden;0,3251;0,2689;0,4061;0,5831;0,4169;0,5391;0,4609;0,4858;0,5142
URU_ESP;2026-06-27;Uruguay;Spain;0,1479;0,2147;0,6373;0,5294;0,4706;0,5756;0,4244;0,2283;0,7717
USA_TUR;2026-06-26;USA;Türkiye;0,2456;0,2723;0,4821;0,5274;0,4726;0,4885;0,5115;0,5171;0,4829
UZB_POR;2026-06-23;Uzbekistan;Portugal;0,2642;0,2617;0,474;0,5801;0,4199;0,5494;0,4506;0,5244;0,4756
