partido_id;fecha;equipo_a;equipo_b;mercado;ambito;evento;linea;periodo;cuota_media;cuota_max;prob_implicita;n_casas
TUN_SWE;2026-06-15;Tunisia;Sweden;1X2;-;gana_A;-;FT;4,39;4,75;0,2181;24
TUN_SWE;2026-06-15;Tunisia;Sweden;1X2;-;empate;-;FT;3,48;3,65;0,2752;24
TUN_SWE;2026-06-15;Tunisia;Sweden;1X2;-;gana_B;-;FT;1,89;1,96;0,5067;24
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;2.5;FT;2,18;2,26;0,4293;11
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;2.5;FT;1,64;1,73;0,5707;11
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;2.25;FT;1,96;1,96;0,4961;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;2.25;FT;1,93;1,93;0,5039;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;2.0;FT;1,71;1,71;0,5671;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;2.0;FT;2,24;2,24;0,4329;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;over;1.5;FT;1,38;1,38;0,6849;1
TUN_SWE;2026-06-15;Tunisia;Sweden;goles;TOTAL;under;1.5;FT;3,0;3,0;0,3151;1
CPV_ESP;2026-06-15;Cabo Verde;Spain;1X2;-;gana_A;-;FT;26,0;38,0;0,0367;24
CPV_ESP;2026-06-15;Cabo Verde;Spain;1X2;-;empate;-;FT;11,5;14,5;0,083;24
CPV_ESP;2026-06-15;Cabo Verde;Spain;1X2;-;gana_B;-;FT;1,085;1,11;0,8802;24
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;over;3.5;FT;1,93;2,04;0,4921;11
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;under;3.5;FT;1,87;1,93;0,5079;11
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;over;2.5;FT;1,37;1,37;0,6969;3
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;under;2.5;FT;3,15;3,15;0,3031;3
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;over;4.0;FT;2,75;2,75;0,3437;1
CPV_ESP;2026-06-15;Cabo Verde;Spain;goles;TOTAL;under;4.0;FT;1,44;1,44;0,6563;1
EGY_BEL;2026-06-15;Egypt;Belgium;1X2;-;gana_A;-;FT;5,75;6,4;0,1661;24
EGY_BEL;2026-06-15;Egypt;Belgium;1X2;-;empate;-;FT;4,0;4,25;0,2388;24
EGY_BEL;2026-06-15;Egypt;Belgium;1X2;-;gana_B;-;FT;1,605;1,69;0,5951;24
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;over;2.5;FT;1,945;2,06;0,4915;14
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;under;2.5;FT;1,88;1,94;0,5085;14
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;over;3.0;FT;2,75;2,75;0,3499;1
EGY_BEL;2026-06-15;Egypt;Belgium;goles;TOTAL;under;3.0;FT;1,48;1,48;0,6501;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;1X2;-;gana_A;-;FT;8,1;9,0;0,1181;24
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;1X2;-;empate;-;FT;4,5;4,7;0,2127;24
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;1X2;-;gana_B;-;FT;1,43;1,47;0,6692;24
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;over;2.25;FT;1,83;1,83;0,532;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;under;2.25;FT;2,08;2,08;0,468;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;over;2.5;FT;1,975;2,12;0,4782;12
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;under;2.5;FT;1,81;1,85;0,5218;12
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;over;3.0;FT;2,9;2,9;0,3287;1
KSA_URU;2026-06-16;Saudi Arabia;Uruguay;goles;TOTAL;under;3.0;FT;1,42;1,42;0,6713;1
NZL_IRN;2026-06-16;New Zealand;Iran;1X2;-;gana_A;-;FT;4,765;5,0;0,2014;24
NZL_IRN;2026-06-16;New Zealand;Iran;1X2;-;empate;-;FT;3,5;3,6;0,2742;24
NZL_IRN;2026-06-16;New Zealand;Iran;1X2;-;gana_B;-;FT;1,83;1,89;0,5244;24
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;over;2.0;FT;1,815;1,84;0,534;4
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;under;2.0;FT;2,08;2,1;0,466;4
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;over;2.5;FT;2,33;2,45;0,4041;9
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;under;2.5;FT;1,58;1,62;0,5959;9
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;over;1.5;FT;1,48;1,48;0,6501;1
NZL_IRN;2026-06-16;New Zealand;Iran;goles;TOTAL;under;1.5;FT;2,75;2,75;0,3499;1
SEN_FRA;2026-06-16;Senegal;France;1X2;-;gana_A;-;FT;7,25;8,0;0,1326;24
SEN_FRA;2026-06-16;Senegal;France;1X2;-;empate;-;FT;4,465;4,6;0,2154;24
SEN_FRA;2026-06-16;Senegal;France;1X2;-;gana_B;-;FT;1,475;1,51;0,652;24
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;over;2.5;FT;1,93;2,02;0,4934;14
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;under;2.5;FT;1,88;1,96;0,5066;14
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;over;3.0;FT;2,75;2,75;0,3499;1
SEN_FRA;2026-06-16;Senegal;France;goles;TOTAL;under;3.0;FT;1,48;1,48;0,6501;1
IRQ_NOR;2026-06-17;Iraq;Norway;1X2;-;gana_A;-;FT;15,0;18,0;0,0637;24
IRQ_NOR;2026-06-17;Iraq;Norway;1X2;-;empate;-;FT;7,125;8,0;0,134;24
IRQ_NOR;2026-06-17;Iraq;Norway;1X2;-;gana_B;-;FT;1,19;1,22;0,8023;24
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;over;3.0;FT;1,88;1,96;0,5072;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;under;3.0;FT;1,935;1,98;0,4928;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;over;3.5;FT;2,375;2,45;0,3972;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;under;3.5;FT;1,565;1,6;0,6028;4
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;over;2.5;FT;1,58;1,6;0,603;6
IRQ_NOR;2026-06-17;Iraq;Norway;goles;TOTAL;under;2.5;FT;2,4;2,42;0,397;6
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;gana_A;-;FT;1,4;1,43;0,685;24
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;empate;-;FT;4,6;4,9;0,2085;24
ARG_ALG;2026-06-17;Argentina;Algeria;1X2;-;gana_B;-;FT;9,0;10,0;0,1066;24
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;2.5;FT;1,935;2,06;0,4921;14
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;2.5;FT;1,875;1,94;0,5079;14
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;over;3.0;FT;2,7;2,7;0,3571;1
ARG_ALG;2026-06-17;Argentina;Algeria;goles;TOTAL;under;3.0;FT;1,5;1,5;0,6429;1
JOR_AUT;2026-06-17;Jordan;Austria;1X2;-;gana_A;-;FT;9,0;10,0;0,1063;24
JOR_AUT;2026-06-17;Jordan;Austria;1X2;-;empate;-;FT;5,475;6,0;0,1747;24
JOR_AUT;2026-06-17;Jordan;Austria;1X2;-;gana_B;-;FT;1,33;1,37;0,7191;24
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;2.5;FT;1,62;1,7;0,5759;9
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;2.5;FT;2,2;2,32;0,4241;9
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;2.75;FT;1,9;1,9;0,5116;1
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;2.75;FT;1,99;1,99;0,4884;1
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;3.0;FT;2,05;2,08;0,4716;3
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;3.0;FT;1,83;1,85;0,5284;3
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;over;3.5;FT;2,75;2,75;0,3499;1
JOR_AUT;2026-06-17;Jordan;Austria;goles;TOTAL;under;3.5;FT;1,48;1,48;0,6501;1
COD_POR;2026-06-17;DR Congo;Portugal;1X2;-;gana_A;-;FT;10,875;12,5;0,088;22
COD_POR;2026-06-17;DR Congo;Portugal;1X2;-;empate;-;FT;5,725;6,0;0,1672;22
COD_POR;2026-06-17;DR Congo;Portugal;1X2;-;gana_B;-;FT;1,285;1,33;0,7448;22
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;over;2.5;FT;1,68;1,73;0,5591;10
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;under;2.5;FT;2,13;2,21;0,4409;10
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;over;2.75;FT;1,92;1,92;0,5064;1
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;under;2.75;FT;1,97;1,97;0,4936;1
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;over;3.5;FT;2,7;2,7;0,3494;1
COD_POR;2026-06-17;DR Congo;Portugal;goles;TOTAL;under;3.5;FT;1,45;1,45;0,6506;1
CRO_ENG;2026-06-17;Croatia;England;1X2;-;gana_A;-;FT;5,0;5,5;0,1918;24
CRO_ENG;2026-06-17;Croatia;England;1X2;-;empate;-;FT;3,85;3,95;0,2491;24
CRO_ENG;2026-06-17;Croatia;England;1X2;-;gana_B;-;FT;1,715;1,77;0,5591;24
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;over;2.25;FT;1,93;1,93;0,5039;1
CRO_ENG;2026-06-17;Croatia;England;goles;TOTAL;under;2.25;FT;1,96;1,96;0,4961;1
