mercado;etiqueta;fuente;n;brier;acierto;ece;cob80;bins_json
duels_won;Duelos ganados O/U;backtest;34436;0.2522;0.6038;0.1213;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.12009066901408451, ""real"": 0.35827464788732394, ""n"": 7952}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.295941381864353, ""real"": 0.43773145698867844, ""n"": 9451}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49643581259925884, ""real"": 0.5326892535733192, ""n"": 7556}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6971710234068, ""real"": 0.6432598667350077, ""n"": 5853}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8803344370860927, ""real"": 0.7828366445916115, ""n"": 3624}]"
fouled;Faltas recibidas O/U;backtest;17710;0.2353;0.6378;0.1022;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11346058091286308, ""real"": 0.24824102471585785, ""n"": 5543}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2943755466818787, ""real"": 0.3515877543259175, ""n"": 5259}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4955072862249106, ""real"": 0.4470717624415727, ""n"": 3637}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6892053298383574, ""real"": 0.5369156837046746, ""n"": 2289}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8774032586558045, ""real"": 0.6354378818737271, ""n"": 982}]"
possession_lost;Pérdidas O/U;backtest;45572;0.2874;0.5323;0.1797;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.13106449745252433, ""real"": 0.5045159796201946, ""n"": 8636}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.3002879923674526, ""real"": 0.5312116668938258, ""n"": 14674}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4961120039764725, ""real"": 0.5869439151685859, ""n"": 12071}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6886553471870249, ""real"": 0.656614292954891, ""n"": 7892}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8660578512396694, ""real"": 0.766855154414963, ""n"": 2299}]"
shots;Tiros O/U;backtest;17328;0.2304;0.6495;0.099;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11390976407783708, ""real"": 0.2448768727397968, ""n"": 5807}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.29449161466458657, ""real"": 0.35647425897035884, ""n"": 5128}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49207068475859894, ""real"": 0.44493531082360366, ""n"": 3169}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6918579310344828, ""real"": 0.5659770114942528, ""n"": 2175}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8778551000953287, ""real"": 0.6739752144899904, ""n"": 1049}]"
shots_on_target;Tiros a puerta O/U;backtest;9496;0.1889;0.7347;0.0809;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.10316544502617801, ""real"": 0.17842931937172773, ""n"": 4775}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.28650187828700224, ""real"": 0.2531930879038317, ""n"": 2662}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.48681295487627363, ""real"": 0.3777292576419214, ""n"": 1374}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6803115942028987, ""real"": 0.463768115942029, ""n"": 552}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8700751879699248, ""real"": 0.48872180451127817, ""n"": 133}]"
key_passes;Pases clave O/U;backtest;15350;0.2256;0.6597;0.098;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11002901785714285, ""real"": 0.23008241758241757, ""n"": 5824}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.29002428256070645, ""real"": 0.3258278145695364, ""n"": 4530}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4895618463757663, ""real"": 0.42733501622791203, ""n"": 2773}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6890937880633373, ""real"": 0.5012180267965896, ""n"": 1642}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8761876075731497, ""real"": 0.5972461273666093, ""n"": 581}]"
crosses;Centros O/U;backtest;18619;0.2298;0.6522;0.0965;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11213272812646735, ""real"": 0.24338707152919078, ""n"": 6389}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.29205545077329315, ""real"": 0.3602414183327046, ""n"": 5302}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.4934182584269663, ""real"": 0.4682584269662921, ""n"": 3560}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6930137162451778, ""real"": 0.5572224603514788, ""n"": 2333}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8759632850241545, ""real"": 0.6917874396135266, ""n"": 1035}]"
accurate_crosses;Centros precisos O/U;backtest;8313;0.1892;0.7327;0.0735;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.10221135122298741, ""real"": 0.17003087152695323, ""n"": 4211}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.28456035634743876, ""real"": 0.27839643652561247, ""n"": 2245}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.48882758620689654, ""real"": 0.3767241379310345, ""n"": 1160}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6820530303030302, ""real"": 0.4602272727272727, ""n"": 528}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8817218934911244, ""real"": 0.5029585798816568, ""n"": 169}]"
dribbles_att;Regates intentados O/U;backtest;19345;0.2257;0.6565;0.0907;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11345158286778398, ""real"": 0.23013656114214773, ""n"": 6444}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2932584846817098, ""real"": 0.33461750137589436, ""n"": 5451}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49426284638149043, ""real"": 0.44794188861985473, ""n"": 3717}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6919168600154679, ""real"": 0.5583913379737045, ""n"": 2586}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8753522231909329, ""real"": 0.6495204882301656, ""n"": 1147}]"
tackles;Entradas O/U;backtest;20610;0.2368;0.632;0.0972;;"[{""lo"": 0.0, ""hi"": 0.2, ""pred"": 0.11290483434753211, ""real"": 0.2582826233941853, ""n"": 5916}, {""lo"": 0.2, ""hi"": 0.4, ""pred"": 0.2973736592227888, ""real"": 0.36222964656233514, ""n"": 5687}, {""lo"": 0.4, ""hi"": 0.6, ""pred"": 0.49509767651703135, ""real"": 0.4694337920144372, ""n"": 4433}, {""lo"": 0.6, ""hi"": 0.8, ""pred"": 0.6935757381258022, ""real"": 0.5686777920410783, ""n"": 3116}, {""lo"": 0.8, ""hi"": 1.01, ""pred"": 0.8713395061728395, ""real"": 0.6844993141289437, ""n"": 1458}]"
