jugador;partidos_amonestado
John McGinn;3
John Mercado;1
John Orobulu;1
John Robia;1
John Souttar;1
John Stones;1
John Well Wohale;1
Johnny Cardoso;1
Jon Aramburu;5
Jon Gorenc Stanković;1
Jon Russell;2
Jonah Fabisch;1
Jonas Adjei Adjetey;2
Jonas Wind;1
Jonathan Cantillana;1
Jonathan David;1
Jonathan Franco;1
Jonathan Osorio;1
Jonathan Tah;7
Jordan Ayew;1
Jordan Bos;1
Jordan François;2
Jordan James;3
Jordan Obita;1
Jordan Teze;1
Jordi Amat;1
Jordy Caicedo;1
Jorge Carrascal;1
Jorge Cruz;2
Jorge Gutiérrez;1
Jorge Murrugarra;1
Jorge Sánchez;3
Joris Kayembe;2
Joris Moutachy;1
Jose Hernandez Chavez;1
Josef Martínez;1
Joseph Belmar;1
Joseph Ceesay;2
Joseph Kibonge;1
Joseph Layousse Samb;1
Joseph Malish;2
Joseph Mbong;1
Joseph Mora;1
Joseph Mpande;1
Joseph Paintsil;1
Joseph Rosales;1
Josh Cullen;3
Josh Magennis;1
Joshua Kimmich;2
Josimar Alcócer;1
Josip Stanišić;3
Josua Mejías;1
Josué Casimir;1
Josué Homawoo;1
Josué Tiendrebeogo;2
José Ardón;1
José Cifuentes;1
José Contreras;1
José Córdoba;4
José Fajardo;3
José Luis Rodríguez;2
José Martínez;7
José María Giménez;3
José Morales;2
José Nabil;1
José Pinto;1
José Reyes;1
José Rosales;4
Jovane Cabral;1
Jovani Welch;2
João Cancelo;5
João Félix;2
João Gomes;2
João Neves;2
João Palhinha;5
Joško Gvardiol;3
Ju-sung Kim;1
Juan Cáceres;2
Juan Delgado;1
Juan Fernando Quintero;1
Juan Pablo Vargas;1
Juan Portilla;1
Jude Bellingham;3
Juhani Pikkarainen;1
Julio Sibrián;1
Julián Alvarez;1
Julián Araujo;2
Julián Jose Martinez;1
Julián Quiñones;2
Juljan Shehu;1
Juninho Bacuna;1
Juninho Junior;2
Juninho Mathiot;1
Junior Alonso;3
Junior Arteaga;1
Junior Hoilett;1
Junior Makunike;1
Junior Olaitan;2
Junior Tchamadeu;2
Junnosuke Suzuki;1
Junya Ito;1
Jure Balkovec;1
Jurien Gaari;1
Jurriën Timber;1
Justas Lasickas;1
Justin Devenny;1
Justin Garcia;1
Justin Hubner;2
Jusuf Gazibegović;2
Jóannes Bjartalíð;1
Jóannes Kalsø Danielsen;1
Jóhann Guðmundsson;1
