mes;partido_id;eA;eB;ga;gb;res;p1;px;p2;p_o25;p_btts;b1;bx;b2;b_o25;b_btts
2025-06;11874020;France;Spain;1;2;2;0.21797549837827973;0.21988247988926946;0.5621420217324509;0.670698144618487;0.6505821187680458;0.5373108360580374;0.18201587911663022;0.2806732848253322;0.8905601502493073;0.8489788772326803
2025-06;11886369;Argentina;Chile;1;0;1;0.7447964473644676;0.17138152170798865;0.08382203092754374;0.599094626504591;0.46532933157986245;0.6816432962849702;0.22847024062990942;0.08988646308512035;0.40293162272177546;0.33720696784567294
2025-06;11886600;Argentina;Colombia;1;0;1;0.39350749669542273;0.30408026777303626;0.3024122355315409;0.4011117976981678;0.4726185826371156;0.5552056064510383;0.27330089162484833;0.17149350192411322;0.4069431143152455;0.4277604767236044
2025-06;11896617;France;Germany;0;2;2;0.47063760051358783;0.242481614834935;0.28688078465147726;0.6338142705601595;0.646581440391035;0.4829974415778726;0.2081721816302153;0.3088303767919121;0.795600934852961;0.774081736521761
2025-06;12475014;Bahrain;China;0;1;2;0.3690717676998219;0.3119716670176189;0.3189565652825593;0.3783208993763621;0.45588484307882676;0.3542383739302163;0.4398583208793158;0.2059033051904681;0.11148232436127196;0.1937071101734806
2025-06;12475929;Bahrain;China;0;1;2;0.3697597648612161;0.3123361246150102;0.3179041105237737;0.3769902095477142;0.4547266648289987;0.3542383739302163;0.4398583208793158;0.2059033051904681;0.11148232436127196;0.1937071101734806
2025-06;12475935;Australia;Japan;1;0;1;0.39554268600437315;0.27251459086330476;0.331942723132322;0.5255581850225494;0.5723013715456312;0.31760548240451975;0.31789884886874464;0.3644956687267356;0.35926420430255124;0.44016636156950767
2025-06;12475941;Australia;Japan;1;1;X;0.3925779306340657;0.27383718396631207;0.3335848853996222;0.5205046137712969;0.5685754396372498;0.31760548240451975;0.31789884886874464;0.3644956687267356;0.35926420430255124;0.44016636156950767
2025-06;12716813;Brazil;Paraguay;0;1;2;0.43884355066420694;0.2890482021671218;0.27210824716867127;0.44136358741094883;0.49859217200756234;0.2798146780335295;0.28722002107344635;0.4329653008930242;0.45162765414273925;0.5082295748309891
2025-06;12716814;Uruguay;Venezuela;0;0;X;0.6482084589202033;0.22624197546454713;0.12554956561524974;0.49223479768858114;0.44845420002499253;0.494257285002734;0.27705832462270824;0.22868439037455782;0.45447407505012377;0.494632167569224
2025-06;12716815;Paraguay;Uruguay;0;0;X;0.31104445720812474;0.28019960645312114;0.4087559363387539;0.48985425737814614;0.542874641629013;0.17386586216381317;0.26598019220582786;0.560153945630359;0.4338714619285795;0.44939719152020663
2025-06;12716816;Argentina;Chile;3;0;1;0.745441047408213;0.17160611280682114;0.0829528397849657;0.5950457498736991;0.46069229130982453;0.6816432962849702;0.22847024062990942;0.08988646308512035;0.40293162272177546;0.33720696784567294
2025-06;12716818;Ecuador;Peru;1;0;1;0.729861657119088;0.1981418673279742;0.07199647555293766;0.452656800352102;0.3384816888484892;0.5784486179980857;0.4026573851281778;0.018893996873736555;0.07347544188528878;0.03095572085743718
2025-06;12716820;Bolivia;Venezuela;4;0;1;0.2794084086935826;0.255693905736064;0.4648976855703533;0.5737031459300035;0.6001265251663143;0.01395227168163247;0.0816163450388827;0.9044313832794849;0.6190295869901296;0.21605327440008829
2025-06;12716821;Argentina;Colombia;1;2;2;0.3942759790696602;0.3043082135398264;0.30141580739051327;0.4000858965136368;0.4716741426196936;0.5552056064510383;0.27330089162484833;0.17149350192411322;0.4069431143152455;0.4277604767236044
2025-06;12716824;Colombia;Peru;1;1;X;0.8203810730675409;0.14113016053283237;0.03848876639962689;0.5288769186191535;0.2961430431827187;0.76910838333409;0.20762250658248305;0.02326911008342687;0.273000031713576;0.10579352984666943
2025-06;12716825;Bolivia;Chile;2;1;1;0.26596877101517674;0.27565148473596907;0.4583797442488543;0.48674151177656433;0.5315847513943907;0.012909448668917196;0.07535719118604697;0.911733360145036;0.6415260497973286;0.22051741019918894
2025-06;12716834;Brazil;Ecuador;1;0;1;0.3804654541113753;0.3062862574060391;0.3132482884825855;0.3961532512128042;0.4698417707457155;0.07857712754641456;0.2760558212221656;0.6453670512314198;0.26159336724229204;0.22489558647748248
2025-06;13157876;France;Germany;2;0;1;0.47364208266307944;0.24184855998542118;0.2845093573514992;0.6351122889929168;0.6470053525689698;0.4829974415778726;0.2081721816302153;0.3088303767919121;0.795600934852961;0.774081736521761
2025-06;13157877;Portugal;Spain;7;5;1;0.30174221831573994;0.23727211423112554;0.46098566745313446;0.664439881425163;0.6724743194083745;0.36869404238843384;0.2041352270846631;0.4271707305269031;0.832223396448003;0.8097865118021773
2025-06;13157878;France;Spain;4;5;2;0.22269025261912234;0.21946431258554538;0.5578454347953324;0.6779721794975624;0.6582412424647899;0.5373108360580374;0.18201587911663022;0.2806732848253322;0.8905601502493073;0.8489788772326803
2025-06;13157879;Germany;Portugal;1;2;2;0.29620607122591186;0.27208301348159686;0.43171091529249117;0.5161351565172932;0.5605605212394815;0.44512146010955805;0.22690330820043272;0.32797523169000925;0.7212551506922164;0.7192937817887811
2025-06;13343376;Costa Rica;USA;0;3;2;0.18327003735374528;0.2582567044699669;0.5584732581762877;0.47294794847521004;0.4846108664341345;0.35656803788457736;0.32153203680008335;0.3218999253153393;0.34851298009572784;0.4314836765945088
2025-06;13755494;Costa Rica;Mexico;0;0;X;0.1275114896957786;0.24453653943601;0.6279519708682115;0.43202819774715845;0.4073493982739457;0.1460943042454808;0.38412389347450665;0.46978180228001243;0.15468075737944428;0.21167741555054254
2025-06;13755513;Haiti;USA;1;2;2;0.38185724497688095;0.26074282081773587;0.3573999342053832;0.5784451561057813;0.6138523588329402;0.9509013002422249;0.03862470188726353;0.010473997870511478;0.8641839772605359;0.3941715251311884
2025-06;13856220;Paraguay;Uruguay;2;0;1;0.305644731298763;0.2790596968762257;0.4152955718250112;0.4925229160346672;0.5441733138748857;0.17386586216381317;0.26598019220582786;0.560153945630359;0.4338714619285795;0.44939719152020663
2025-06;13856221;Brazil;Ecuador;0;0;X;0.3820061379321601;0.3056597077395628;0.3123341543282771;0.3980787247582915;0.4712998260150375;0.07857712754641456;0.2760558212221656;0.6453670512314198;0.26159336724229204;0.22489558647748248
2025-06;13856222;Colombia;Peru;0;0;X;0.8177818358870125;0.1432092978902021;0.03900886622278545;0.5230801901654154;0.2943434620942762;0.76910838333409;0.20762250658248305;0.02326911008342687;0.273000031713576;0.10579352984666943
2025-06;13856223;Argentina;Chile;1;0;1;0.7408762794388081;0.1733374666371826;0.08578625392400914;0.5973101766161351;0.4676123554223391;0.6816432962849702;0.22847024062990942;0.08988646308512035;0.40293162272177546;0.33720696784567294
2025-06;13856224;Argentina;Colombia;1;1;X;0.3968367325050974;0.30408612832469933;0.2990771391702033;0.400192057909381;0.4714475415819187;0.5552056064510383;0.27330089162484833;0.17149350192411322;0.4069431143152455;0.4277604767236044
2025-06;13856225;Bolivia;Venezuela;0;2;2;0.2751560223402101;0.2554340664965549;0.46940991116323505;0.5721581540657787;0.5979183777426826;0.01395227168163247;0.0816163450388827;0.9044313832794849;0.6190295869901296;0.21605327440008829
2025-06;13856226;Ecuador;Peru;0;0;X;0.7297229767800367;0.1980070247225122;0.07226999849745111;0.454006790071899;0.33995211578456686;0.5784486179980857;0.4026573851281778;0.018893996873736555;0.07347544188528878;0.03095572085743718
2025-06;13856227;Bolivia;Chile;2;0;1;0.2636760134211589;0.27598424778690994;0.4603397387919312;0.4840849816127333;0.5289477303829028;0.012909448668917196;0.07535719118604697;0.911733360145036;0.6415260497973286;0.22051741019918894
2025-06;13856228;Uruguay;Venezuela;2;0;1;0.6433594761106971;0.22796818513117564;0.12867233875812742;0.4924302038314717;0.45210082525242073;0.494257285002734;0.27705832462270824;0.22868439037455782;0.45447407505012377;0.494632167569224
2025-06;13856229;Brazil;Paraguay;1;0;1;0.4386753953519764;0.2894393173453379;0.27188528730268574;0.439872664973939;0.4973916522538242;0.2798146780335295;0.28722002107344635;0.4329653008930242;0.45162765414273925;0.5082295748309891
2025-06;13888378;Mexico;Switzerland;2;4;2;0.3586456473336518;0.2850445747858213;0.3563097778805269;0.47792744645350427;0.536576270048231;0.5630246161791995;0.286781875904987;0.15019350791581357;0.3406457145026951;0.36215632556383404
2025-06;13888415;Mexico;Türkiye;1;0;1;0.338434624717555;0.28508052814891116;0.3764848471335337;0.476689648724283;0.5351492015178776;0.5085149574193336;0.3106531767409792;0.18083186583968716;0.31088112459846357;0.36073859040765216
2025-06;13974681;Switzerland;USA;4;0;1;0.4205929875470557;0.29017339550640314;0.28923361694654115;0.4450807419442165;0.505056491837346;0.3962616096217092;0.2512080888929506;0.35253030148534004;0.619497664537212;0.6446883933057227
2025-06;14000199;Costa Rica;USA;5;6;2;0.17937947507715812;0.2558494559484541;0.5647710689743878;0.476435398208433;0.4846015026847557;0.35656803788457736;0.32153203680008335;0.3218999253153393;0.34851298009572784;0.4314836765945088
2025-07;11740251;China;South Korea;0;1;2;0.13164740331413444;0.2473438652889066;0.621008731396959;0.4303979774749613;0.41058991318428445;0.06373441488937662;0.2876876116084215;0.6485779735022019;0.21818747249381268;0.17381299997861538
